,api,api version,organization name,environment,url,updatedAt,name,id,version,description,registry_id,ddate
0,drs,1.1.0,NCI Data Commons Framework Services,None,https://nci-crdc.datacommons.io/,2020-07-24T12:00:00Z,NCI DCFS,gov.nih.nci.dcfs.drs,2.12.0,"DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
1,drs,1.0.0,Seven Bridges,production,https://cavatica-ga4gh-api.sbgenomics.com,2020-09-10T00:41:57Z,Cavatica DRS API,com.sb.cavatica.drs,1.0.0,"The Data Repository Service (DRS) API provides a generic interface to data repositories so data consumers, including workflow systems, can access data in a single, standard way regardless of where it's stored and how it's managed. The primary functionality of DRS is to map a logical ID to a means for physically retrieving the data represented by the ID.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
2,drs,1.0.0,Seven Bridges,production,https://cgc-ga4gh-api.sbgenomics.com,2020-09-10T00:41:57Z,Cancer Genomics Cloud DRS API,com.sb.cgc.drs,1.0.0,"The Data Repository Service (DRS) API provides a generic interface to data repositories so data consumers, including workflow systems, can access data in a single, standard way regardless of where it's stored and how it's managed. The primary functionality of DRS is to map a logical ID to a means for physically retrieving the data represented by the ID.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
3,drs,1.1.0,AnVIL,None,https://gen3.theanvil.io/,2020-07-24T12:00:00Z,AnVIL,io.theanvil.drs,2.12.0,"DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
4,drs,1.1.0,Childrens Hospital of Philadelphia,production,https://data.kidsfirstdrc.org,2020-10-06T13:11:38Z,The Kids First Data Resource Center (KFDRC),edu.chop.kfdrc,2020.08,"Full implementation of the DRS 1.1 standard with support for persistent identifiers. Open source DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
5,drs,1.1.0,BioData Catalyst,None,https://gen3.biodatacatalyst.nhlbi.nih.gov/,2020-07-24T12:00:00Z,BioData Catalyst,gov.nih.nhlbi.biodatacatalyst.drs,2.12.0,"Full implementation of the DRS 1.1 standard with support for persistent identifiers. Open source DRS server that follows the Gen3 implementation. Gen3 is a GA4GH compliant open source platform for developing framework services and data commons. Data commons accelerate and democratize the process of scientific discovery, especially over large or complex datasets. Gen3 is maintained by the Center for Translational Data Science at the University of Chicago. https://gen3.org",org.ga4gh.registry,2021-01-17 09:57:00-05:00
6,htsget,1.2.0,Global Alliance for Genomics and Health,production,https://htsget.ga4gh.org/variants,2020-09-04T14:40:00Z,GA4GH htsget reference server variants API,org.ga4gh.htsgetreference.variants,1.3.0,"Reference web service of the GA4GH htsget protocol. Streams variant data from public datasets, such as Tabula Muris and 1000 Genomes.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
7,htsget,1.2.0,Global Alliance for Genomics and Health,production,https://htsget.ga4gh.org/reads,2020-09-04T14:40:00Z,GA4GH htsget reference server reads API,org.ga4gh.htsgetreference.reads,1.3.0,"Reference web service of the GA4GH htsget protocol. Streams alignment data from public datasets, such as Tabula Muris and 1000 Genomes.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
8,refget,1.0.0,European Bioinformatics Institute,None,https://refget-insdc.jeremy-codes.com,None,INSDC Refget Mirror,uk.ac.ebi.insdc.refget,0.3.0,"This web service serves genomic reference sequences from the International Nucleotide Sequence Database Collaboration (INSDC) according to the Reference Sequence Retrieval (Refget) API protocol. Refget is an open protocol developed and maintained by the Global Alliance for Genomics and Health (GA4GH). The Refget protocol prescribes the access of sequences by an unambiguous, vendor-neutral identifier that is derived from a hash digest of the raw sequence content. One or more hashing functions can be supported. The following checksum identifier formats are supported by this service: GA4GH Variant Representation sequence checksum, Refget protocol Trunc512, MD5",org.ga4gh.registry,2021-01-17 09:57:00-05:00
9,refget,1.0.0,European Bioinformatics Institute,None,https://www.ebi.ac.uk/ena/cram,2020-08-07T13:19:49Z,CRAM Reference Registry,uk.ac.ebi.cram-reference-registry,1.0.0,"ENA’s CRAM Reference Registry is the original refget deployment serving CRAM’s requirements for a centralised server for reference sequence retrieval. It served as the blueprint for the refget specification. All sequences held in the INSDC resources (ENA, Genbank, DDBJ) have been checksumed against the MD5 checksum, as noted in the CRAM specification. This server hosts over 2.5 billion sequences in an Oracle database. To reduce database and server load, the CRAM reference registry is hosted behind a Squid proxy server, to provide fast access to frequently accessed sequences.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
10,refget,1.0.0,European Bioinformatics Institute,None,https://refget.herokuapp.com,2020-08-07T13:19:49Z,Refget reference implementation,uk.ac.ebi.refget.ref-impl,1.0.0,"Refget’s reference implementation is implemented in Perl and is updated with each approved change to the refget specification. The server stores metadata (e.g. sequence length, known aliases) within a RDBMS such as PostgreSQL, MySQL or SQLite through the DBIx::Class (https://metacpan.org/pod/DBIx::Class) object relational mapper, implements its application logic using the Mojolicious framework (https://metacpan.org/pod/Mojolicious) and features an extensive library of tests.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
11,refget,1.0.0,European Bioinformatics Institute,None,https://spjb6ejone.execute-api.us-east-2.amazonaws.com/Prod,2020-08-07T13:19:49Z,Serverless refget on AWS,uk.ac.ebi.refget-serverless,1.0.0,"The refget-cloud codebase used in the AWS ECS Fargate deployment has been repurposed to work in a serverless context. In this case, a refget service has been created without any provisioning of servers, VMs, or container instances. Instead, the service consists of three AWS Lambda functions (one for each endpoint in the refget specification); each function is associated with an HTTPS request route via API Gateway. The serverless refget points to the same INSDC public S3 bucket. This service is best considered as a technical demonstration to complement the above containerized service; together they illustrate how refget can be deployed in multiple contexts using cloud resources.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
12,rnaget,1.0.0,Centre for Genomic Regulation,production,https://genome.crg.cat/rnaget,None,CRG RNAget Reference Implementation,eu.crg.rnaget,1.0.0,RNAget implementation serving compliance test dataset,org.ga4gh.registry,2021-01-17 09:57:00-05:00
13,rnaget,1.0.0,California Institute of Technology,production,https://felcat.caltech.edu/rnaget,None,Caltech RNAget Reference Implementation,edu.caltech.rnaget,1.0.0,RNAget implementation serving compliance test dataset,org.ga4gh.registry,2021-01-17 09:57:00-05:00
14,search,1.0.0,DNAstack,dev,https://storage.googleapis.com/ga4gh-tables-example/tables,None,DNAstack Discovery Search test,com.dnastack.search.test,0.1.0,None,org.ga4gh.registry,2021-01-17 09:57:00-05:00
15,search,1.0.0,DNAstack,prod,https://ga4gh-search-adapter-presto-public.prod.dnastack.com,2020-09-14T18:41:09Z,ga4gh-search-adapter-presto-public,com.dnastack.search,0.4-189-gbfc2688,Supports data discovery by searching heterogeneous genomic and clinical data using a uniform query language.,org.ga4gh.registry,2021-01-17 09:57:00-05:00
16,service-registry,1.0.0,Autism Speaks,prod,https://ga4gh-service-registry.mss.ng,None,MSSNG GA4GH Service Registry,org.autismspeaks.mssng.service-registry,2.0-113-g274a2aa,Provides links to GA4GH services offered by the MSSNG project,org.ga4gh.registry,2021-01-17 09:57:00-05:00
17,service-registry,1.0.0,Global Alliance for Genomics and Health,None,https://registry.ga4gh.org/v1,None,GA4GH Standards and Implementations Registry,org.ga4gh.registry,1.0.0,Flexible API registry of all GA4GH standards and associated implementations,org.ga4gh.registry,2021-01-17 09:57:00-05:00
18,service-registry,1.0.0,CSC - IT Center for Science Ltd.,dev,https://registry-beacon.rahtiapp.fi,2020-07-23T18:03:14Z,ELIXIR-FI Beacon Registry,fi.rahtiapp.registry-beacon,1.1.0,ELIXIR-FI Beacon Registry at CSC for Beacon network,org.ga4gh.registry,2021-01-17 09:57:00-05:00
19,service-registry,1.0.0,DNAstack,prod,https://beacon-network.org/api/v2,None,DNAstack Beacon Network,com.dnastack.beacon-network,1.1-149-ga8b0cf5,"The Beacon Network is a search engine across the world's public beacons. It enables global discovery of genetic mutations, federated across a large and growing network of shared genetic datasets.The Beacon Network is developed, maintained, and hosted by DNAstack.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
20,trs,2.0.0,Dockstore,None,https://dockstore.org/api/api/ga4gh/v2/,None,Dockstore,org.dockstore.dockstoreapi,1.8.1,Dockstore TRS implementation,org.ga4gh.registry,2021-01-17 09:57:00-05:00
21,trs,2.0.0,Biocontainers,None,https://api.biocontainers.pro/api/ga4gh/v2,None,Biocontainers,pro.biocontainers.biocontainersapi,1.0.0,Biocontainers TRS implementation,org.ga4gh.registry,2021-01-17 09:57:00-05:00
22,wes,1.0.0,Seven Bridges,production,https://cgc-ga4gh-api.sbgenomics.com/ga4gh/wes/v1/,2020-11-10T18:45:39Z,CGC GA4GH WES API,com.sbgenomics.cgc-ga4gh-api.wes,1.0.1.4,"This service provides a standard way for users to submit workflow requests to workflow execution systems, and to monitor their execution.",org.ga4gh.registry,2021-01-17 09:57:00-05:00
23,wes,1.0.0,DNAstack,demo,https://ddap-wes-service.prod.dnastack.com/ga4gh/wes/v1,2020-09-14T18:45:21Z,DNAstack Demo WES Service,com.dnastack.wes.demo,1.0.0,Demo Workflow Execution Service (WES),org.ga4gh.registry,2021-01-17 09:57:00-05:00
24,beacon,1.1.0,Research Programme on Biomedical Informatics,prod,https://beacon.disgenet.org/disgenetbeacon/v1.1.0/beacon/,2021-01-15 14:00:18.350198+00:00,DisGeNET Beacon,org.disgenet.beacon,v1.1.0,Variant-Disease associations collected from curated resources and the literature,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
25,beacon,1.1.0,baudisgroup at UZH and SIB,prod,https://beacon.progenetix.org/,2020-10-27 17:00:12.364475+00:00,Progenetix Cancer Genomics Beacon+,org.progenetix.beacon,1/10/20,"Beacon+ provides a forward looking implementation of the Beacon API, with focus on structural variants and metadata based on the cancer and reference genome profiling data represented in the Progenetix oncogenomic data resource (https://progenetix.org).\n",fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
26,beacon,1.0.1,EMBL European Bioinformatics Institute,prod,https://grch37.rest.ensembl.org/ga4gh/beacon/,2020-12-02 09:40:38.600070+00:00,EBI - Ensembl GRCh37,org.ensembl.rest.grch37,102,Human variant data from the Ensembl database,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
27,beacon,1.1.0,LCSB at University of Luxembourg,prod,https://beacon.elixir-luxembourg.org/v1/beacon/,2020-11-29 01:38:54.798672+00:00,ELIXIR.LU Beacon,org.elixir-luxembourg.beacon,1.1.0.1,ELIXIR.LU Beacon,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
28,beacon,1.0.1,EMBL European Bioinformatics Institute,prod,https://rest.ensembl.org/ga4gh/beacon/,2020-12-01 10:16:40.368342+00:00,EBI - Ensembl GRCh38,org.ensembl.rest,102,Human variant data from the Ensembl database,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
29,beacon,1.1.0,CSC - IT Center for Science,prod,https://beaconpy-elixirbeacon.rahtiapp.fi/,2021-01-15 14:00:18.039674+00:00,Production Beacon,fi.rahtiapp.beaconpy-elixirbeacon,1.7.0,Beacon API Web Server based on the GA4GH Beacon API,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
30,beacon,1.1.0,CSC - IT Center for Science,prod,https://staging-elixirbeacon.rahtiapp.fi/,2021-01-15 14:00:18.061996+00:00,Development Beacon,fi.rahtiapp.staging-elixirbeacon,1.7.0,Beacon API Web Server based on the GA4GH Beacon API,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
31,beacon,1.1.0,"University of Tartu Institute of Genomics, Estonia",prod,https://beacon.ut.ee/beacon/,2021-01-15 14:00:18.133056+00:00,"Beacon at the University of Tartu, Estonia",ee.ut.beacon,1.4.0,Beacon API Web Server based on the GA4GH Beacon API,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
32,beacon,1.1.0,National Bioinformatics Infrastructure Sweden,prod,https://swefreq-dev.nbis.se/api/beacon-elixir/,2021-01-15 14:00:18.255857+00:00,SweFreq Beacon,se.nbis.swefreq-dev,1.8.0,Beacon API Web Server based on the GA4GH Beacon API,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
33,beacon,1.1.0+,European Genome-Phenome Archive (EGA),prod,https://test-beacon-api.ega-archive.org/,2021-01-15 14:00:18.608403+00:00,EGA Beacon,org.ega-archive.test-beacon-api,v1,"This <a href=""https://beacon-project.io/"">Beacon</a> is based on the GA4GH Beacon <a href=""https://github.com/ga4gh-beacon/specification/blob/develop/beacon.yaml"">v1.1.0+</a>",fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
34,beacon-aggregator,1.0.0,CSC - IT Center for Science Ltd.,prod,https://beacon-network-aggregator.elixir-europe.org/service-info,2021-01-15 14:00:17.992322+00:00,ELIXIR-FI Beacon Aggregator,org.elixir-europe.beacon-network-aggregator,1.1.0,ELIXIR-FI Beacon Aggregator at CSC for Beacon network,fi.rahtiapp.registry-beacon,2021-01-17 09:57:00-05:00
35,beacon,1.0.0,Autism Speaks,prod,https://db6-beacon.mss.ng/,2020-04-27T20:46:47.97499Z,DB6 Beacon,e3b47690-682c-4b2a-af13-0380a3d5ea6d,1.0-150-g0562953,Autism Speaks - MSSNG DB6 Beacon,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
36,beacon,1.0.0,Autism Speaks,prod,https://discovery-beacon-mssng.prod.dnastack.com,2020-01-17T16:36:44.768826Z,Autism Speaks - MSSNG DB5 Beacon,c1a4ff81-d6b1-43dc-8df1-5985a15c5995,1.0.0,Autism Speaks - MSSNG beacon,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
37,dam,1.0.0,Autism Speaks,prod,https://data-access-manager.mss.ng,2020-12-02T23:58:26.672646Z,Data Access Manager,dbe74f54-0e3b-449b-af58-4d3e91b2710d,1.1-619-gd1b398e,Authorization server which performs the role of a GA4GH Passport Clearinghouse,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
38,data-explorer,1.0.0,Autism Speaks,prod,https://data-explorer.mss.ng,2020-12-02T23:57:13.76811Z,Data Explorer,a2837b12-42a7-4710-b029-400fb62b7d21,v0.34.1-5-g7ddf4a0,"Metabase implementation to provide the easy, open source way to ask questions and learn from data",org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
39,drs,1.0.0,Autism Speaks,prod,https://drs-server.mss.ng,2020-12-02T23:56:44.708771Z,DRS Server,e2c0ae49-ba42-4b0a-b884-026a4b3f62f3,1.0-30-g262703e,Data Repository Service for the MSSNG project,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
40,ic,1.0.0,Autism Speaks,prod,https://identity-concentrator.mss.ng,2020-12-02T23:53:21.010229Z,Identity Concentrator,b074f218-d571-4051-bc6c-e49dd6cedaa9,1.1-615-g3c58049,OpenID Connect Aggregator which performs the role of a GA4GH Passport Broker,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
41,mssng-research-portal,1,Autism Speaks,prod,https://research.mss.ng/,2020-01-17T21:59:32.884288Z,Autism Speaks - MSSNG portal,41c6920d-bf68-4868-8b16-72e344dafcc1,1,Autism Speaks - MSSNG Research portal,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
42,search,1.0.0,Autism Speaks,prod,https://search-presto.mss.ng,2020-12-16T20:30:05.772592Z,GA4GH Search Adapter Presto,a1cf4791-aac0-4fa5-a53d-38f353918acd,0.4-240-g1568360,An implementation of the GA4GH Discovery Search API backed by Presto SQL,org.autismspeaks.mssng.service-registry,2021-01-17 09:57:00-05:00
